Concept,Notes
"Rising uncertainty causes firms to defer irreversible investments, reducing aggregate demand even when interest rates are low, amplifying recessions through the option value of waiting.",↑ uncertainty → ↓ irreversible investment (wait option valuable) → ↓ aggregate demand; amplifies recession even w/ ↓ rates
"Increasing trade with low-wage countries raises consumer surplus through lower prices but reduces wages for import-competing workers, creating trade-offs that redistribution could address.",↑ trade w/ low-wage countries → ↑ consumer surplus (↓ prices) + ↓ wages (import-competing workers); redistribution needed
"When expectations of future income rise, consumption rises today through permanent income smoothing, reducing the effectiveness of temporary fiscal transfers in boosting spending.",↑ expected future income → ↑ current consumption via permanent income hypothesis; temporary transfers → ↓ multiplier effect
"When the learning rate is set too high in gradient descent, parameter updates overshoot the minimum, causing the loss to oscillate or diverge rather than converge.",↑ learning rate → overshoot minimum → loss oscillates or diverges; ≠ ↓ lr (slow convergence); optimal lr ↔ convergence speed
Increasing the depth of a neural network allows it to learn more abstract hierarchical features but introduces vanishing gradients that impede learning in early layers.,↑ depth → ↑ abstract feature learning; vanishing gradients → ↓ learning in early layers; fix: ResNet/batch norm/ReLU
"When the training dataset is too small relative to model complexity, the model memorizes noise in training data, performing well on training but poorly on unseen data.",small data + complex model → memorize noise → ↑ train accuracy; ↓ test accuracy; overfitting; fix: regularize/↑ data
"Removing batch normalization from a deep network causes internal covariate shift, where the distribution of each layer's input changes during training, slowing convergence.",w/o batch norm → internal covariate shift → layer input distribution ↑ variability → ↓ convergence speed
"When two threads access shared memory concurrently without synchronization, a race condition can cause unpredictable outcomes depending on the order of execution.",concurrent threads + shared memory w/o sync → race condition → unpredictable output; fix: mutex/semaphore/atomic ops
Increasing the vocabulary size in a language model increases its representational capacity for rare words but also increases the number of parameters in the embedding layer.,↑ vocab size → ↑ rare word representation + ↑ embedding parameters; memory ↑; ∴ trade-off w/ compute + coverage
"When a hash function maps many keys to the same bucket, the collision chain grows, causing lookup time to degrade from O(1) average to O(n) worst case.",poor hash fn → many collisions → ↑ chain length → O(n) worst-case lookup; ≠ O(1) avg; fix: better hash fn + resize
"Increasing the number of attention heads in a transformer allows it to attend to information from different representation subspaces simultaneously, improving contextual understanding.",↑ attention heads → ↑ subspace diversity → ↑ contextual understanding; each head attends to different relations
"When a distributed system experiences a network partition, it must choose between maintaining consistency (refusing requests) or availability (serving potentially stale data).",network partition → choose: consistency (refuse requests) or availability (serve stale data); CAP theorem; ≠ both
"Increasing the model context window for a transformer increases the quadratic attention computation cost, making inference slower and more memory-intensive.",↑ context window → ↑ attention cost O(n²) → ↑ inference latency + ↑ memory; ∴ efficient attention needed for long seqs
"When database indices are not updated after bulk inserts, query plans that rely on index statistics become suboptimal, causing full table scans and slow queries.",bulk insert w/o index update → stale statistics → suboptimal query plan → full table scan → ↑ query time; run ANALYZE
"Increasing the number of nodes in a distributed cluster increases fault tolerance because data can be replicated across more nodes, reducing single-point-of-failure risk.",↑ cluster nodes → ↑ replication options → ↑ fault tolerance → ↓ single-point-of-failure risk; ∝ replication factor
"When a convolutional neural network uses a larger kernel size, it can capture broader spatial patterns but requires more parameters and reduces spatial resolution faster.",↑ CNN kernel size → ↑ spatial pattern scope + ↑ parameters + ↓ spatial resolution; trade-off: receptive field vs. compute
"Applying dropout during training randomly zeroes activations, forcing the network to learn redundant representations, which reduces overfitting and improves generalization.",dropout: random activation → 0 during training → redundant representations → ↓ overfitting → ↑ generalization
"When a message queue fills up because consumers are slower than producers, back pressure mechanisms must signal producers to slow down or messages will be dropped.",producer > consumer → queue fills → back pressure signals producer to ↓ rate; w/o back pressure → message drop
"Increasing the temperature parameter in a language model's sampling makes the probability distribution flatter, generating more diverse but less coherent text.",↑ temperature → flatter prob distribution → ↑ diversity; ↓ coherence; T→0 = greedy; T→∞ = uniform random
"When a machine learning model is deployed on production data that differs from training data distribution, model performance degrades due to covariate shift.",production data ≠ training distribution → covariate shift → ↓ model performance; fix: domain adaptation + monitoring
Adding more training data to a simple model reduces variance but cannot reduce bias if the model is fundamentally too simple to capture the true relationship.,↑ training data → ↓ variance; bias unchanged if model too simple; ∴ data alone cannot fix high-bias model
"When a database query uses a nested loop join on large unindexed tables, time complexity is O(n×m), but a hash join reduces this to O(n+m) with appropriate memory.",nested loop join (unindexed): O(n×m); hash join: O(n+m); ↑ table size → hash join ↑ advantage; memory trade-off
"Increasing regularization strength in a model shrinks coefficient magnitudes toward zero, reducing model complexity and variance at the cost of increased bias.",↑ regularization → ↓ coefficient magnitudes → ↓ model complexity + ↓ variance + ↑ bias; bias-variance trade-off
"When a load balancer uses round-robin scheduling, it distributes requests evenly across servers, but long-running requests can cause uneven actual load if not considered.",round-robin LB → even request distribution; long-running requests → uneven actual load; ∴ least-connections better for varied latency
"Decreasing the batch size in stochastic gradient descent introduces more noise in gradient estimates, potentially escaping local minima but reducing computational efficiency.",↓ batch size → ↑ gradient noise → potential local minima escape; ↓ compute efficiency; SGD ≠ full-batch GD
"When an NLP model is trained only on English text and tested on other languages, performance drops dramatically because language-specific patterns were not learned.",train English only → test other languages → ↓ performance; language-specific patterns ≠ cross-lingual; fix: multilingual training
"Increasing cache size reduces cache misses and memory access latency, improving program performance up to the point where the working set fits entirely in cache.",↑ cache size → ↓ cache misses → ↓ memory latency → ↑ performance; diminishing returns once working set fits
"When two microservices communicate synchronously, a failure in one propagates to the other; making communication asynchronous via message queues isolates failures.",sync microservice comm: failure A → failure B; async (message queue) → isolate failures; ↑ resilience; ↓ coupling
